物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100315500285,60000.0,50000.0,,,,
100315944693,60000.0,50000.0,,,,
100343697402,90000.0,50000.0,,180000.0,,
100343523288,90000.0,50000.0,,180000.0,,
100343630517,90000.0,50000.0,,180000.0,,
100343697393,90000.0,50000.0,,180000.0,,
100343469731,90000.0,50000.0,,180000.0,,
100343469837,90000.0,50000.0,,180000.0,,
100343630513,90000.0,50000.0,,180000.0,,
100346586156,60000.0,50000.0,,60000.0,,
100346309035,60000.0,50000.0,,60000.0,,
100301838720,60000.0,70000.0,,60000.0,,
100303751918,60000.0,70000.0,,60000.0,,
100228229496,60000.0,70000.0,,60000.0,,
100301466792,60000.0,70000.0,,60000.0,,
100346309556,50000.0,50000.0,,50000.0,,
100346589077,50000.0,50000.0,,50000.0,,
100346584451,80000.0,50000.0,,80000.0,,
100346585925,80000.0,50000.0,,80000.0,,
100346312437,80000.0,50000.0,,80000.0,,
100346317262,80000.0,50000.0,,80000.0,,
100346587682,50000.0,50000.0,,,,
100346314371,50000.0,50000.0,,,,
100346588645,50000.0,50000.0,,50000.0,,
100346430928,50000.0,50000.0,,50000.0,,
100346585592,50000.0,50000.0,,50000.0,,
100346309568,50000.0,50000.0,,50000.0,,
100346585429,80000.0,50000.0,,80000.0,,
100346310500,80000.0,50000.0,,80000.0,,
100346431625,50000.0,50000.0,,,,
100346586907,50000.0,50000.0,,,,
100346584415,70000.0,50000.0,,70000.0,,
100346312987,70000.0,50000.0,,70000.0,,
100346588766,60000.0,50000.0,,60000.0,,
100346317477,60000.0,50000.0,,60000.0,,
100346310026,50000.0,50000.0,,,,
100346588264,50000.0,50000.0,,,,
100346589136,50000.0,50000.0,,50000.0,,
100346317767,50000.0,50000.0,,50000.0,,
100346310139,50000.0,50000.0,,,,
100346317819,50000.0,50000.0,,,,
100346587408,50000.0,50000.0,,,,
100346586518,50000.0,50000.0,,,,
100346584460,50000.0,50000.0,,50000.0,,
100346925018,50000.0,50000.0,,50000.0,,
100346315006,50000.0,50000.0,,,,
100346589012,50000.0,50000.0,,,,
100346923720,50000.0,50000.0,,50000.0,,
100346584332,50000.0,50000.0,,50000.0,,
100346430713,50000.0,50000.0,,50000.0,,
100346587198,60000.0,50000.0,,60000.0,,
100346310314,60000.0,50000.0,,60000.0,,
100344954651,50000.0,50000.0,,50000.0,,
100331589342,80000.0,50000.0,,,,
100315675564,80000.0,50000.0,,80000.0,,
100332333136,80000.0,50000.0,,,,
100346588415,50000.0,50000.0,,,,
100346587207,50000.0,50000.0,,,,
100346585786,50000.0,50000.0,,,,
100346310465,50000.0,50000.0,,,,
100346309045,50000.0,50000.0,,,,
100346311264,50000.0,50000.0,,,,
100329747294,50000.0,30000.0,,,,
100341915125,70000.0,50000.0,,70000.0,,
100337888373,50000.0,30000.0,,,,
100329604704,50000.0,30000.0,,,,
100339503812,50000.0,50000.0,,,,
100333431611,50000.0,50000.0,,,,
100268224138,50000.0,50000.0,,,,
100329636670,50000.0,50000.0,,,,
100333431687,50000.0,50000.0,,,,
100346309345,50000.0,50000.0,,50000.0,,
100346584488,50000.0,50000.0,,50000.0,,
100346829122,100000.0,100000.0,100000.0,200000.0,,
100346827384,100000.0,100000.0,100000.0,200000.0,,
100346753221,100000.0,100000.0,100000.0,200000.0,,
100346858341,100000.0,100000.0,100000.0,200000.0,,
100346813354,100000.0,100000.0,100000.0,200000.0,,
100347426542,100000.0,100000.0,100000.0,200000.0,,
100346876211,100000.0,100000.0,100000.0,200000.0,,
100346922652,100000.0,100000.0,100000.0,200000.0,,
100347049813,100000.0,100000.0,100000.0,200000.0,,
100346893645,100000.0,100000.0,100000.0,200000.0,,
100346747427,100000.0,100000.0,100000.0,200000.0,,
100347445902,100000.0,100000.0,100000.0,200000.0,,
100346867851,100000.0,100000.0,100000.0,200000.0,,
100347226599,100000.0,100000.0,100000.0,200000.0,,
100346749492,100000.0,100000.0,100000.0,200000.0,,
100346759251,100000.0,100000.0,100000.0,200000.0,,
100346874457,100000.0,100000.0,100000.0,200000.0,,
100346925138,100000.0,100000.0,100000.0,200000.0,,
100346866928,100000.0,100000.0,100000.0,200000.0,,
100346818315,100000.0,100000.0,100000.0,200000.0,,
100346819927,100000.0,100000.0,100000.0,200000.0,,
100346873900,100000.0,100000.0,100000.0,200000.0,,
100346873635,100000.0,100000.0,100000.0,200000.0,,
100347036228,100000.0,100000.0,100000.0,200000.0,,
100346919553,100000.0,100000.0,100000.0,200000.0,,
100346822916,100000.0,100000.0,100000.0,200000.0,,
100347165554,100000.0,100000.0,100000.0,200000.0,,
100346827076,100000.0,100000.0,100000.0,200000.0,,
100346771273,100000.0,100000.0,100000.0,200000.0,,
100346873312,100000.0,100000.0,100000.0,200000.0,,
100346758082,100000.0,100000.0,100000.0,200000.0,,
100346873743,100000.0,100000.0,100000.0,200000.0,,
100346589054,50000.0,50000.0,,50000.0,,
100346313950,50000.0,50000.0,,50000.0,,
100346586389,50000.0,50000.0,,50000.0,,
100346309650,50000.0,50000.0,,50000.0,,
100346312549,50000.0,50000.0,,50000.0,,
100346586979,50000.0,50000.0,,50000.0,,
100337076285,40000.0,10000.0,40000.0,,,
100283260076,40000.0,10000.0,40000.0,,,
100335567736,50000.0,50000.0,,50000.0,,
100341643974,60000.0,40000.0,,,,
100345557067,60000.0,40000.0,,,,
100342031664,60000.0,40000.0,,,,
100341642793,60000.0,40000.0,,,,
100341694837,60000.0,40000.0,,,,
